Date,Price,Open,High,Low,Vol.,Change %
12/26/2024,188.448,197.447,199.617,186.632,3110000,-4.56%
12/25/2024,197.447,197.009,201.812,195.183,2810000,0.23%
12/24/2024,196.997,189.989,198.932,186.149,3810000,3.69%
12/23/2024,189.989,180.482,193.372,176.685,5880000,5.27%
12/22/2024,180.482,181.175,187.805,177.097,4820000,-0.37%
12/21/2024,181.146,194.450,201.937,178.651,7030000,-6.83%
12/20/2024,194.436,193.829,199.508,175.989,13020000,0.31%
12/19/2024,193.835,206.745,212.065,187.365,10130000,-6.24%
12/18/2024,206.745,223.104,225.911,204.953,7350000,-7.21%
12/17/2024,222.810,216.172,228.835,211.619,6990000,3.07%
12/16/2024,216.172,224.143,227.121,213.463,5310000,-3.41%
12/15/2024,223.797,219.874,225.283,215.765,3140000,1.78%
12/14/2024,219.877,224.890,227.492,215.231,3050000,-2.24%
12/13/2024,224.910,226.925,228.366,220.629,4300000,-0.89%
12/12/2024,226.925,227.387,234.576,225.786,4930000,-0.21%
12/11/2024,227.408,213.669,230.500,211.628,6360000,6.42%
12/10/2024,213.680,217.006,220.614,203.448,9680000,-1.54%
12/09/2024,217.012,237.097,237.137,207.170,9410000,-8.47%
12/08/2024,237.097,238.195,241.497,233.395,3070000,-0.54%
12/07/2024,238.379,236.799,243.161,234.235,4050000,0.67%
12/06/2024,236.799,236.185,246.912,231.130,6840000,0.24%
12/05/2024,236.242,229.198,244.682,223.071,10050000,3.07%
12/04/2024,229.216,233.980,240.702,224.750,7070000,-2.04%
12/03/2024,233.980,225.794,239.390,215.205,9160000,3.63%
12/02/2024,225.794,236.833,238.028,220.155,8189999,-4.64%
12/01/2024,236.775,237.603,239.810,234.191,3390000,-0.35%
11/30/2024,237.600,243.285,245.278,237.574,3140000,-2.34%
11/29/2024,243.285,237.589,246.726,236.673,3930000,2.40%
11/28/2024,237.594,241.955,245.262,232.959,3510000,-1.81%
11/27/2024,241.983,230.745,243.351,227.668,5090000,4.87%
11/26/2024,230.745,234.061,239.672,222.492,6570000,-1.42%
11/25/2024,234.073,252.800,256.502,231.262,6490000,-7.41%
11/24/2024,252.800,254.920,259.706,241.600,4750000,-0.83%
11/23/2024,254.913,256.656,263.966,252.829,6040000,-0.65%
11/22/2024,256.576,256.552,264.248,251.654,6720000,0.00%
11/21/2024,256.587,235.513,259.316,230.038,11100000,8.95%
11/20/2024,235.513,237.588,242.146,230.677,6920000,-0.88%
11/19/2024,237.593,239.779,247.460,233.782,6970000,-0.91%
11/18/2024,239.769,237.471,248.366,234.077,9260000,0.97%
11/17/2024,237.467,215.668,241.875,212.258,10500000,10.11%
11/16/2024,215.662,218.441,221.891,213.629,5410000,-1.27%
11/15/2024,218.439,209.490,220.185,204.615,6810000,4.27%
11/14/2024,209.490,215.179,222.788,207.109,9410000,-2.65%
11/13/2024,215.187,211.579,220.398,201.034,13500000,1.71%
11/12/2024,211.579,222.141,225.081,205.145,11400000,-4.75%
11/11/2024,222.141,210.053,224.022,204.309,11290000,5.75%
11/10/2024,210.053,199.926,215.152,198.738,10260000,5.07%
11/09/2024,199.920,199.845,203.384,195.090,4080000,0.04%
11/08/2024,199.844,196.235,204.862,195.709,6910000,1.84%
11/07/2024,196.233,186.620,197.805,186.007,5940000,5.15%
11/06/2024,186.627,166.622,189.943,166.551,13310000,12.00%
11/05/2024,166.624,157.958,169.245,156.956,4600000,5.49%
11/04/2024,157.953,162.490,164.959,155.188,4019999,-2.79%
11/03/2024,162.483,166.082,166.544,158.004,3800000,-2.17%
11/02/2024,166.082,166.149,168.560,162.228,2290000,-0.05%
11/01/2024,166.165,168.763,173.945,163.796,4540000,-1.53%
10/31/2024,168.754,174.910,176.473,167.636,3680000,-3.52%
10/30/2024,174.918,179.431,181.271,173.227,3970000,-2.51%
10/29/2024,179.425,178.197,183.272,176.441,5580000,0.69%
10/28/2024,178.199,176.698,179.547,172.640,5140000,0.85%
10/27/2024,176.701,170.799,178.214,170.282,3500000,3.46%
10/26/2024,170.798,165.108,173.189,162.520,4030000,3.45%
10/25/2024,165.098,177.156,177.409,160.134,7340000,-6.81%
10/24/2024,177.159,170.927,179.130,170.532,5250000,3.65%
10/23/2024,170.927,167.419,174.160,164.219,5880000,2.13%
10/22/2024,167.364,166.140,170.953,163.117,5340000,0.74%
10/21/2024,166.142,167.351,171.464,161.602,6300000,-0.72%
10/20/2024,167.338,159.683,167.861,157.613,4120000,4.79%
10/19/2024,159.683,154.914,159.766,153.845,2510000,3.08%
10/18/2024,154.913,150.503,156.613,149.678,2780000,2.93%
10/17/2024,150.503,154.275,155.648,147.796,3790000,-2.44%
10/16/2024,154.275,154.774,158.225,153.042,4010000,-0.32%
10/15/2024,154.774,157.536,159.441,150.464,5960000,-1.75%
10/14/2024,157.536,147.680,157.977,146.868,5390000,6.67%
10/13/2024,147.682,146.390,148.742,144.572,2370000,0.87%
10/12/2024,146.404,145.453,147.219,144.695,2100000,0.66%
10/11/2024,145.449,139.029,146.454,138.732,3490000,4.61%
10/10/2024,139.038,139.308,140.798,136.112,3300000,-0.19%
10/09/2024,139.308,143.488,145.289,138.795,3200000,-2.93%
10/08/2024,143.516,143.930,145.548,141.213,3080000,-0.29%
10/07/2024,143.932,146.483,152.215,143.573,4940000,-1.74%
10/06/2024,146.488,142.592,146.694,142.014,2130000,2.72%
10/05/2024,142.604,143.151,144.873,141.086,2170000,-0.39%
10/04/2024,143.161,136.844,144.479,135.985,4390000,4.62%
10/03/2024,136.835,140.236,142.904,133.380,5270000,-2.42%
10/02/2024,140.236,145.251,148.901,138.687,5440000,-3.46%
10/01/2024,145.261,152.621,157.290,142.708,7030000,-4.83%
09/30/2024,152.630,158.471,159.710,151.908,4230000,-3.69%
09/29/2024,158.479,156.710,161.705,155.150,3290000,1.13%
09/28/2024,156.710,157.647,159.396,155.152,2360000,-0.59%
09/27/2024,157.647,155.549,160.986,154.017,4990000,1.35%
09/26/2024,155.548,147.999,157.981,146.590,5590000,5.10%
09/25/2024,147.999,152.666,153.758,147.366,3810000,-3.07%
09/24/2024,152.684,144.714,153.921,143.291,5540000,5.51%
09/23/2024,144.713,144.687,148.985,142.203,4470000,-0.01%
09/22/2024,144.732,149.419,149.870,141.285,3050000,-3.13%
09/21/2024,149.414,146.699,149.797,144.669,2700000,1.85%
09/20/2024,146.699,142.872,152.125,141.234,5960000,2.68%
09/19/2024,142.874,134.327,143.908,134.327,6040000,6.36%
09/18/2024,134.327,131.540,134.327,127.196,4700000,2.12%
09/17/2024,131.540,131.405,135.500,130.359,3430000,0.10%
09/16/2024,131.405,131.419,132.310,129.068,3140000,-0.02%
09/15/2024,131.425,137.157,137.916,130.801,2760000,-4.18%
09/14/2024,137.158,139.069,139.755,135.730,2140000,-1.37%
09/13/2024,139.069,136.038,139.744,131.812,3850000,2.23%
09/12/2024,136.038,132.404,136.659,132.394,3470000,2.75%
09/11/2024,132.404,135.619,135.875,128.347,4310000,-2.36%
09/10/2024,135.604,135.050,137.863,132.573,3380000,0.41%
09/09/2024,135.048,130.127,136.853,127.102,5010000,3.81%
09/08/2024,130.092,127.729,131.538,126.654,2830000,1.85%
09/07/2024,127.733,125.042,129.334,124.227,2930000,2.16%
09/06/2024,125.031,129.462,134.215,120.927,7680000,-3.42%
09/05/2024,129.462,133.652,135.300,127.960,3910000,-3.13%
09/04/2024,133.652,127.505,134.826,122.836,5710000,4.86%
09/03/2024,127.457,134.949,137.234,127.314,3820000,-5.55%
09/02/2024,134.948,128.565,135.377,127.149,4440000,4.96%
09/01/2024,128.572,135.342,136.031,127.870,4270000,-5.00%
08/31/2024,135.342,137.980,139.183,134.545,1920000,-1.91%
08/30/2024,137.975,140.025,141.067,132.328,5440000,-1.46%
08/29/2024,140.025,143.928,147.310,138.186,4099999,-2.71%
08/28/2024,143.928,146.923,148.709,140.658,5650000,-2.04%
08/27/2024,146.921,157.137,159.544,145.275,5100000,-6.50%
08/26/2024,157.136,159.057,161.878,155.594,4460000,-1.22%
08/25/2024,159.083,160.667,161.951,155.331,3560000,-0.99%
08/24/2024,160.667,153.150,162.146,152.014,5210000,4.91%
08/23/2024,153.150,143.214,153.757,142.743,5260000,6.95%
08/22/2024,143.194,142.719,144.780,140.820,2730000,0.33%
08/21/2024,142.726,142.287,144.328,139.003,3810000,0.30%
08/20/2024,142.295,144.308,148.629,141.173,4350000,-1.39%
08/19/2024,144.304,142.406,145.548,140.390,3980000,1.32%
08/18/2024,142.420,141.932,146.997,140.759,3830000,0.36%
08/17/2024,141.914,139.044,141.941,137.664,2340000,2.06%
08/16/2024,139.044,142.491,144.836,136.226,5550000,-2.41%
08/15/2024,142.479,143.763,147.433,138.086,6050000,-0.89%
08/14/2024,143.765,146.668,151.866,142.582,5480000,-1.98%
08/13/2024,146.663,146.321,149.722,143.011,4040000,0.23%
08/12/2024,146.321,141.455,150.688,141.419,6770000,3.45%
08/11/2024,141.440,154.018,157.798,141.243,4840000,-8.17%
08/10/2024,154.016,156.247,158.452,152.716,2910000,-1.43%
08/09/2024,156.247,162.990,163.485,151.041,6310000,-4.10%
08/08/2024,162.920,144.623,163.291,141.490,10700000,12.81%
08/07/2024,144.422,144.429,154.964,142.476,11670000,0.03%
08/06/2024,144.385,129.702,149.307,129.529,11680000,11.32%
08/05/2024,129.702,138.288,139.091,110.155,34180000,-6.13%
08/04/2024,138.174,142.442,146.004,131.836,9600000,-3.00%
08/03/2024,142.442,152.837,153.893,140.109,7400000,-6.80%
08/02/2024,152.837,167.480,169.337,150.067,8070000,-8.76%
08/01/2024,167.504,171.678,172.776,158.034,8050000,-2.43%
07/31/2024,171.678,179.084,184.270,171.678,4870000,-4.12%
07/30/2024,179.061,182.550,184.683,175.628,4550000,-1.94%
07/29/2024,182.606,184.906,193.890,181.681,5720000,-1.24%
07/28/2024,184.904,183.818,186.579,181.303,2790000,0.59%
07/27/2024,183.818,183.058,188.137,178.149,4980000,0.42%
07/26/2024,183.058,171.842,183.506,171.842,4410000,6.53%
07/25/2024,171.837,178.142,179.549,165.693,6740000,-3.51%
07/24/2024,178.082,173.003,182.383,171.035,5050000,2.94%
07/23/2024,173.000,178.961,180.495,170.868,5130000,-3.33%
07/22/2024,178.958,184.414,184.860,176.837,4470000,-2.96%
07/21/2024,184.414,173.614,184.959,170.733,5010000,6.22%
07/20/2024,173.607,169.155,174.965,167.361,3060000,2.63%
07/19/2024,169.153,159.214,171.244,156.287,6560000,6.25%
07/18/2024,159.209,155.477,161.546,155.304,3630000,2.50%
07/17/2024,155.325,160.620,163.602,154.712,4099999,-3.24%
07/16/2024,160.527,159.614,162.444,152.744,5540000,0.57%
07/15/2024,159.616,147.694,159.933,147.053,4940000,8.08%
07/14/2024,147.687,141.884,148.536,141.884,4190000,4.09%
07/13/2024,141.884,139.497,143.508,137.991,2200000,1.71%
07/12/2024,139.497,135.734,140.504,134.091,4190000,2.74%
07/11/2024,135.776,142.082,145.511,135.735,4780000,-4.43%
07/10/2024,142.077,141.368,145.963,138.669,3850000,0.50%
07/09/2024,141.368,139.713,144.039,136.548,4780000,1.16%
07/08/2024,139.747,131.492,141.723,128.120,7880000,6.30%
07/07/2024,131.462,143.101,143.288,131.355,3760000,-8.16%
07/06/2024,143.147,134.306,144.084,132.452,4110000,6.58%
07/05/2024,134.309,127.674,136.137,121.261,10680000,5.20%
07/04/2024,127.674,140.774,142.676,127.292,7370000,-9.29%
07/03/2024,140.744,153.905,154.439,139.490,6140000,-8.55%
07/02/2024,153.909,146.671,154.946,146.142,4070000,4.94%
07/01/2024,146.669,146.553,149.088,145.871,3680000,0.07%
06/30/2024,146.560,140.189,147.427,137.177,3350000,4.55%
06/29/2024,140.185,139.961,143.008,139.713,2680000,0.18%
06/28/2024,139.930,149.713,150.387,139.015,5030000,-6.53%
06/27/2024,149.703,136.793,150.960,135.224,6310000,9.43%
06/26/2024,136.796,136.573,140.325,134.910,3630000,0.16%
06/25/2024,136.573,132.326,139.822,131.208,6080000,3.25%
06/24/2024,132.275,128.638,132.546,123.337,8620000,2.82%
06/23/2024,128.644,133.692,135.071,128.219,2440000,-3.77%
06/22/2024,133.689,134.529,136.625,133.101,1970000,-0.63%
06/21/2024,134.536,133.527,135.309,128.772,4770000,0.76%
06/20/2024,133.527,135.652,141.118,131.977,5020000,-1.56%
06/19/2024,135.646,137.394,141.771,134.658,4660000,-1.26%
06/18/2024,137.376,143.225,143.750,129.144,9040000,-4.08%
06/17/2024,143.225,151.265,151.731,139.984,4560000,-5.31%
06/16/2024,151.256,145.505,151.256,143.095,2049999,3.96%
06/15/2024,145.500,143.056,145.687,142.962,1940000,1.71%
06/14/2024,143.050,147.242,148.939,139.857,4570000,-2.85%
06/13/2024,147.250,155.229,155.237,146.046,3730000,-5.15%
06/12/2024,155.237,149.351,161.663,145.513,5580000,3.94%
06/11/2024,149.351,159.048,159.644,145.666,5570000,-6.10%
06/10/2024,159.049,162.129,163.123,157.623,2590000,-1.90%
06/09/2024,162.136,157.818,163.014,156.625,2180000,2.73%
06/08/2024,157.829,162.504,163.716,157.403,2690000,-2.88%
06/07/2024,162.504,170.114,172.583,155.049,5110000,-4.47%
06/06/2024,170.106,173.491,174.371,167.754,3070000,-1.95%
06/05/2024,173.491,171.784,175.565,171.207,3800000,1.00%
06/04/2024,171.778,164.898,171.859,164.446,3290000,4.13%
06/03/2024,164.958,163.243,167.095,161.793,3570000,1.05%
06/02/2024,163.241,166.116,167.055,161.415,2610000,-1.73%
06/01/2024,166.116,165.580,167.857,165.580,1650000,0.32%
05/31/2024,165.580,166.847,170.821,164.024,3820000,-0.79%
05/30/2024,166.895,168.276,172.361,163.638,4860000,-0.83%
05/29/2024,168.291,168.695,173.765,167.307,4600000,-0.24%
05/28/2024,168.694,170.132,173.139,165.068,5320000,-0.84%
05/27/2024,170.124,163.356,172.203,163.356,4170000,4.14%
05/26/2024,163.354,168.379,168.388,161.180,4300000,-2.99%
05/25/2024,168.385,167.775,170.406,166.077,3030000,0.36%
05/24/2024,167.785,176.040,176.077,162.703,6890000,-4.69%
05/23/2024,176.040,176.955,180.710,167.284,8440000,-0.56%
05/22/2024,177.027,178.179,183.244,175.100,5950000,-0.65%
05/21/2024,178.179,186.752,188.752,174.507,7580000,-4.61%
05/20/2024,186.788,169.932,188.229,167.848,6980000,9.92%
05/19/2024,169.936,172.441,175.372,166.432,3450000,-1.45%
05/18/2024,172.441,169.439,175.983,168.742,3860000,1.77%
05/17/2024,169.441,159.320,171.959,159.301,5470000,6.36%
05/16/2024,159.306,158.285,164.395,156.778,6090000,0.65%
05/15/2024,158.285,142.021,158.730,141.362,6790000,11.45%
05/14/2024,142.023,147.395,148.949,141.927,4730000,-3.66%
05/13/2024,147.411,143.417,150.564,138.008,5920000,2.78%
05/12/2024,143.417,145.389,147.731,142.893,1920000,-1.36%
05/11/2024,145.391,146.032,147.551,143.254,3060000,-0.44%
05/10/2024,146.032,152.814,155.560,144.769,5900000,-4.43%
05/09/2024,152.795,142.169,153.202,140.643,5300000,7.45%
05/08/2024,142.206,148.057,149.925,140.046,6000000,-3.96%
05/07/2024,148.062,152.825,159.087,147.994,5930000,-3.12%
05/06/2024,152.825,145.692,156.586,145.481,6190000,4.90%
05/05/2024,145.692,146.056,147.966,143.255,3240000,-0.25%
05/04/2024,146.057,143.650,147.803,142.376,4000000,1.68%
05/03/2024,143.639,137.645,144.897,136.019,6310000,4.35%
05/02/2024,137.648,134.642,140.670,128.284,7710000,2.23%
05/01/2024,134.643,126.737,135.697,119.180,11140000,6.24%
04/30/2024,126.740,137.718,139.687,121.528,8600000,-7.95%
04/29/2024,137.686,137.973,138.890,133.513,5850000,-0.15%
04/28/2024,137.895,141.306,144.586,137.178,4139999,-2.41%
04/27/2024,141.306,139.104,142.952,133.850,5500000,1.58%
04/26/2024,139.104,144.803,146.034,138.885,5250000,-3.94%
04/25/2024,144.808,147.739,149.438,142.245,7350000,-1.98%
04/24/2024,147.739,154.742,159.748,145.734,8560000,-4.53%
04/23/2024,154.743,156.978,159.976,153.141,5730000,-1.42%
04/22/2024,156.979,148.794,158.372,146.867,6920000,5.51%
04/21/2024,148.785,151.150,153.334,146.915,5120000,-1.56%
04/20/2024,151.138,142.362,152.226,139.718,6720000,6.17%
04/19/2024,142.362,142.076,147.425,128.627,15070000,0.23%
04/18/2024,142.037,131.892,143.720,128.002,10570000,7.67%
04/17/2024,131.919,136.227,142.648,127.087,13420000,-3.16%
04/16/2024,136.227,138.535,140.403,126.639,15130000,-1.64%
04/15/2024,138.499,151.416,155.920,133.876,16129999,-8.53%
04/14/2024,151.412,138.641,152.499,130.816,21550000,9.21%
04/13/2024,138.641,153.255,154.838,119.471,26820000,-9.55%
04/12/2024,153.281,172.374,175.891,142.597,11540000,-11.11%
04/11/2024,172.432,173.313,176.257,170.184,6300000,-0.52%
04/10/2024,173.329,172.389,175.431,163.229,7870000,0.54%
04/09/2024,172.390,180.691,180.853,169.362,6290000,-4.59%
04/08/2024,180.691,179.527,184.501,175.498,5280000,0.64%
04/07/2024,179.541,178.698,182.620,176.961,3530000,0.47%
04/06/2024,178.703,174.370,179.699,173.604,3910000,2.49%
04/05/2024,174.368,184.007,185.025,168.038,6980000,-5.23%
04/04/2024,183.999,185.090,190.099,180.251,5300000,-0.58%
04/03/2024,185.076,181.428,191.625,177.085,6610000,2.00%
04/02/2024,181.446,192.228,192.228,175.973,8150000,-5.61%
04/01/2024,192.224,202.510,204.194,187.311,6500000,-5.08%
03/31/2024,202.510,194.211,203.075,193.747,3840000,4.27%
03/30/2024,194.221,192.105,199.812,190.938,4940000,1.10%
03/29/2024,192.107,189.473,192.949,183.558,5150000,1.39%
03/28/2024,189.482,186.230,190.838,180.923,5210000,1.77%
03/27/2024,186.180,190.460,192.546,180.341,7230000,-2.25%
03/26/2024,190.465,188.977,196.509,186.378,6330000,0.79%
03/25/2024,188.979,183.692,194.458,181.085,7350000,2.89%
03/24/2024,183.676,172.641,186.564,171.392,5040000,6.39%
03/23/2024,172.641,175.077,178.755,170.502,5040000,-1.40%
03/22/2024,175.087,179.403,181.643,167.718,8199999,-2.41%
